q0_cmd,q0_pos
-0.139470,-0.223961
-0.139470,-0.223961
-0.139470,-0.223961
-0.125805,-0.222427
-0.125805,-0.220893
-0.117920,-0.219359
-0.117920,-0.214757
-0.116428,-0.211689
-0.116428,-0.210155
-0.121445,-0.208621
-0.121445,-0.207087
-0.132581,-0.204019
-0.132581,-0.199418
-0.148967,-0.196350
-0.148967,-0.193282
-0.169329,-0.190214
-0.169329,-0.187146
-0.192080,-0.185612
-0.192080,-0.181010
-0.215448,-0.174874
-0.215448,-0.171806
-0.237612,-0.170272
-0.237612,-0.168738
-0.256847,-0.168738
-0.280880,-0.168738
-0.280880,-0.173340
-0.280880,-0.174874
-0.280205,-0.177942
-0.280205,-0.182544
-0.280205,-0.185612
-0.280205,-0.187146
-0.280205,-0.191748
-0.255028,-0.194816
-0.255028,-0.196350
-0.235414,-0.199418
-0.235414,-0.202485
-0.235414,-0.207087
-0.235414,-0.210155
-0.213041,-0.213223
-0.213041,-0.214757
-0.189652,-0.217825
-0.189652,-0.219359
-0.167070,-0.222427
-0.167070,-0.223961
-0.147052,-0.225495
-0.126973,-0.225495
-0.126973,-0.223961
-0.126973,-0.220893
-0.126973,-0.219359
-0.126973,-0.216291
-0.126973,-0.213223
-0.126973,-0.211689
-0.126973,-0.210155
-0.126973,-0.207087
-0.126973,-0.205553
-0.126973,-0.200951
-0.141185,-0.197884
-0.141185,-0.191748
-0.159977,-0.188680
-0.159977,-0.185612
-0.181887,-0.182544
-0.181887,-0.179476
-0.205208,-0.176408
-0.205208,-0.174874
-0.228124,-0.173340
-0.228124,-0.171806
-0.248848,-0.170272
-0.248848,-0.168738
-0.265768,-0.168738
-0.265768,-0.168738
-0.277566,-0.171806
-0.277566,-0.173340
-0.283321,-0.176408
-0.283321,-0.179476
-0.282587,-0.184078
-0.282587,-0.187146
-0.275421,-0.188680
-0.275421,-0.191748
-0.262380,-0.194816
-0.262380,-0.196350
-0.244480,-0.202485
-0.244480,-0.205553
-0.223115,-0.208621
-0.223115,-0.211689
-0.199951,-0.214757
-0.199951,-0.216291
-0.176790,-0.219359
-0.176790,-0.222427
-0.155437,-0.223961
-0.155437,-0.223961
-0.137555,-0.223961
-0.137555,-0.222427
-0.124536,-0.220893
-0.124536,-0.219359
-0.117396,-0.216291
-0.117396,-0.213223
-0.116689,-0.211689
-0.116689,-0.208621
-0.122472,-0.204019
-0.134293,-0.200951
-0.134293,-0.197884
-0.134293,-0.194816
-0.151232,-0.188680
-0.151232,-0.187146
-0.171969,-0.184078
-0.171969,-0.181010
-0.194890,-0.177942
-0.218209,-0.176408
-0.218209,-0.173340
-0.240109,-0.171806
-0.240109,-0.168738
-0.240109,-0.168738
-0.258886,-0.167204
-0.258886,-0.167204
-0.273075,-0.168738
-0.273075,-0.170272
-0.281574,-0.173340
-0.281574,-0.174874
-0.283718,-0.179476
-0.283718,-0.182544
-0.279342,-0.185612
-0.279342,-0.187146
-0.268785,-0.190214
-0.268785,-0.196350
-0.252872,-0.199418
-0.252872,-0.202485
-0.232840,-0.205553
-0.210250,-0.207087
-0.210250,-0.210155
-0.210250,-0.213223
-0.186862,-0.214757
-0.186862,-0.217825
-0.164497,-0.219359
-0.164497,-0.220893
-0.144897,-0.220893
-0.129590,-0.219359
-0.129590,-0.216291
-0.129590,-0.214757
-0.119766,-0.211689
-0.119766,-0.210155
-0.116192,-0.208621
-0.116192,-0.207087
-0.119146,-0.205553
-0.119146,-0.202485
-0.128397,-0.199418
-0.128397,-0.191748
-0.143226,-0.188680
-0.143226,-0.185612
-0.162476,-0.184078
-0.184649,-0.179476
-0.184649,-0.177942
-0.184649,-0.174874
-0.208018,-0.173340
-0.208018,-0.168738
-0.230762,-0.167204
-0.230762,-0.165670
-0.251111,-0.165670
-0.267478,-0.165670
-0.267478,-0.165670
-0.278589,-0.167204
-0.278589,-0.170272
-0.278589,-0.173340
-0.283580,-0.176408
-0.282060,-0.179476
-0.282060,-0.184078
-0.282060,-0.187146
-0.274149,-0.191748
-0.274149,-0.194816
-0.260462,-0.197884
-0.260462,-0.199418
-0.242066,-0.204019
-0.242066,-0.208621
-0.220394,-0.211689
-0.220394,-0.214757
-0.197133,-0.216291
-0.174095,-0.217825
-0.174095,-0.220893
-0.153075,-0.222427
-0.153075,-0.222427
-0.153075,-0.222427
-0.135710,-0.219359
-0.123353,-0.217825
-0.123353,-0.216291
-0.116965,-0.213223
-0.116965,-0.210155
-0.117045,-0.208621
-0.117045,-0.208621
-0.123587,-0.205553
-0.123587,-0.202485
-0.136080,-0.197884
-0.136080,-0.194816
-0.153551,-0.191748
-0.153551,-0.187146
-0.174641,-0.184078
-0.174641,-0.181010
-0.197706,-0.177942
-0.197706,-0.174874
-0.220949,-0.173340
-0.220949,-0.171806
-0.242561,-0.170272
-0.242561,-0.168738
-0.260858,-0.168738
-0.260858,-0.168738
-0.274414,-0.170272
-0.274414,-0.171806
-0.282175,-0.174874
-0.283535,-0.177942
-0.283535,-0.181010
-0.283535,-0.185612
-0.278388,-0.187146
-0.278388,-0.193282
-0.267136,-0.196350
-0.267136,-0.197884
-0.250655,-0.200951
-0.250655,-0.207087
-0.230228,-0.210155
-0.230228,-0.213223
-0.207447,-0.214757
-0.207447,-0.217825
-0.184086,-0.219359
-0.184086,-0.220893
-0.161964,-0.222427
-0.161964,-0.222427
-0.142805,-0.220893
-0.142805,-0.219359
-0.128101,-0.216291
-0.128101,-0.211689
-0.118997,-0.208621
-0.118997,-0.208621
-0.116202,-0.207087
-0.116202,-0.204019
-0.119934,-0.200951
-0.119934,-0.197884
-0.129902,-0.193282
-0.129902,-0.191748
-0.145331,-0.188680
-0.145331,-0.185612
-0.165017,-0.182544
-0.165017,-0.176408
-0.187428,-0.173340
-0.187428,-0.171806
-0.210819,-0.170272
-0.210819,-0.167204
-0.233366,-0.165670
-0.233366,-0.164136
-0.253315,-0.162602
-0.253315,-0.162602
-0.269111,-0.162602
-0.269111,-0.162602
-0.279525,-0.164136
-0.279525,-0.170272
-0.281440,-0.173340
-0.281440,-0.176408
-0.281440,-0.181010
-0.281440,-0.182544
-0.272793,-0.185612
-0.258476,-0.187146
-0.258476,-0.190214
-0.239605,-0.193282
-0.239605,-0.199418
-0.239605,-0.202485
-0.217649,-0.205553
-0.194318,-0.207087
-0.194318,-0.210155
-0.194318,-0.213223
-0.171430,-0.214757
-0.150767,-0.217825
-0.150767,-0.219359
-0.133938,-0.219359
-0.133938,-0.219359
-0.122256,-0.219359
-0.122256,-0.214757
-0.116628,-0.211689
-0.117495,-0.210155
-0.117495,-0.208621
-0.124788,-0.205553
-0.124788,-0.202485
-0.124788,-0.199418
-0.124788,-0.196350
-0.137939,-0.193282
-0.155923,-0.190214
-0.155923,-0.187146
-0.177341,-0.184078
-0.177341,-0.181010
-0.200524,-0.177942
-0.200524,-0.174874
-0.223666,-0.173340
-0.223666,-0.170272
